Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
1545,"Umsatzsteuerforderungen",Forderungen,"Forderungen an Finanzamt (USt)","B.II.4. Sonstige Vermögensgegenstände","","","Umsatzsteuer-Erstattungsanspruch aus der laufenden USt-Voranmeldung.","","","Umsatzsteuererstattungen",Aktivkonto,Nein,1780
1546,"Umsatzsteuerforderungen Vorjahr",Forderungen,"Forderungen an Finanzamt (USt)","B.II.4. Sonstige Vermögensgegenstände","","","Umsatzsteuer-Erstattungsanspruch aus der Jahreserklärung des Vorjahres.","","","Umsatzsteuererstattungen",Aktivkonto,Nein,1790
1547,"Forderungen aus Verbrauchsteuern",Forderungen,"Forderungen an Finanzamt","B.II.4. Sonstige Vermögensgegenstände","","","Erstattungsansprüche aus Verbrauchsteuern (z.B. Energiesteuer).","","","",Aktivkonto,Nein,1200
1548,"Vorsteuer im Folgejahr abziehbar",Forderungen,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abgrenzung von Vorsteuer, die erst im Folgejahr geltend gemacht werden kann.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1549,"Körperschaftsteuerrückforderung",Forderungen,"Forderungen an Finanzamt","B.II.4. Sonstige Vermögensgegenstände","","","Erstattungsanspruch aus Körperschaftsteuer-Vorauszahlungen.","","","",Aktivkonto,Nein,1200
1550,"Gewährte Darlehen",Forderungen,Ausleihungen,"A.III.5. Sonstige Ausleihungen","","","An Dritte ausgereichte Darlehen.","","","",Aktivkonto,Nein,1200
1551,"Gewährte Darlehen - Restlaufzeit bis 1 Jahr",Forderungen,Ausleihungen,"B.II.4. Sonstige Vermögensgegenstände","","","An Dritte ausgereichte Darlehen mit Restlaufzeit bis 1 Jahr.","","","",Aktivkonto,Nein,1200
1555,"Gewährte Darlehen - Restlaufzeit größer 1 Jahr",Forderungen,Ausleihungen,"A.III.5. Sonstige Ausleihungen","","","An Dritte ausgereichte Darlehen mit Restlaufzeit über 1 Jahr.","","","",Aktivkonto,Nein,1200
1556,"Nachträglich abziehbare Vorsteuer, bewegliche Wirtschaftsgüter",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Vorsteuerkorrektur nach § 15a UStG für bewegliche WG zu Gunsten des Unternehmens.","64","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1557,"Zurückzuzahlende Vorsteuer, bewegliche Wirtschaftsgüter",Vorsteuer,"Verbindlichkeiten ggü. Finanzamt (Vorsteuer)","","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Vorsteuerkorrektur nach § 15a UStG für bewegliche WG zu Lasten des Unternehmens.","64","9","Verauslagte Vorsteuern",Passivkonto,Ja,
1560,"Aufzuteilende Vorsteuer",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Verrechnungskonto für Vorsteuer, die teilweise abziehbar ist (z.B. bei gemischt genutzten Gebäuden).","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1561,"Aufzuteilende Vorsteuer 7%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für den ermäßigten Steuersatz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1562,"Aufzuteilende Vorsteuer aus innergem. Erwerb 7%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für innergemeinschaftlichen Erwerb zum ermäßigten Satz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1563,"Aufzuteilende Vorsteuer aus innergem. Erwerb 19%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für innergemeinschaftlichen Erwerb zum Regelsatz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1564,"Aufzuteilende Vorsteuer 5%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für den temporär gesenkten ermäßigten Satz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1565,"Aufzuteilende Vorsteuer 16%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für den temporär gesenkten Regelsatz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1566,"Aufzuteilende Vorsteuer 19%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für den Regelsteuersatz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1567,"Aufzuteilende Vorsteuer nach §§ 13a/13b UStG",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1560, hier für §13b-Sachverhalte (Reverse Charge).","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1568,"Abziehbare Vorsteuer 5%",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer zum temporär gesenkten ermäßigten Satz.","66","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1569,"Aufzuteilende Vorsteuer nach §§ 13a/13b UStG 19%",Forderungen,"Verrechnungskonto Vorsteuer","B.II.4. Sonstige Vermögensgegenstände","","","Siehe Konto 1567, hier explizit für den Regelsteuersatz.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1570,"Abziehbare Vorsteuer",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Sammelkonto für abziehbare Vorsteuer ohne Steuersatz-Zuordnung.","66","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1571,"Abziehbare Vorsteuer 7%",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer zum ermäßigten Steuersatz.","66","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1572,"Abziehbare Vorsteuer 7% innergem. Erwerb",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer aus innergem. Erwerb zum ermäßigten Satz.","61","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1573,"Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Spezialkonto für Vorsteuer im Rahmen von innergemeinschaftlichen Dreiecksgeschäften.","66","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1574,"Abziehbare Vorsteuer 19% innergem. Erwerb",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer aus innergem. Erwerb zum Regelsatz.","61","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1575,"Abziehbare Vorsteuer 16%",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer zum temporär gesenkten Regelsatz.","66","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1576,"Abziehbare Vorsteuer 19%",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer zum Regelsteuersatz.","66","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1577,"Abziehbare Vorsteuer § 13b UStG 19%",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG) zum Regelsatz.","67","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1578,"Abziehbare Vorsteuer § 13b UStG",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Sammelkonto für abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG).","67","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1579,"Abziehbare Vorsteuer § 13b UStG 16%",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG) zum temporär gesenkten Satz.","67","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1580,"Gegenkonto Vorsteuer § 4/3 EStG",Forderungen,"Verrechnungskonto EÜR","Technisches Konto für EÜR","","","Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1581,"Auflösung Vorsteuer aus Vorjahr § 4/3 EStG",Forderungen,"Verrechnungskonto EÜR","Technisches Konto für EÜR","","","Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1582,"Vorsteuer aus Investitionen § 4 Abs. 3 EStG",Forderungen,"Verrechnungskonto EÜR","Technisches Konto für EÜR","","","Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1583,"Gegenkonto für Vorsteuer nach Durchschnittssätzen für § 4/3 EStG",Forderungen,"Verrechnungskonto EÜR","Technisches Konto für EÜR","","","Technisches Konto für pauschale Vorsteuer bei Einnahmen-Überschuss-Rechnung.","","","Verauslagte Vorsteuern",Aktivkonto,Nein,
1588,"Bezahlte Einfuhrumsatzsteuer",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Als Vorsteuer abziehbare, an den Zoll gezahlte Einfuhrumsatzsteuer.","62","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1589,"Abziehbare Vorsteuer 16% aus innergem. Erwerb",Vorsteuer,"Forderungen an Finanzamt (Vorsteuer)","B.II.4. Sonstige Vermögensgegenstände","","","Abziehbare Vorsteuer aus innergem. Erwerb zum temporär gesenkten Satz.","61","9","Verauslagte Vorsteuern",Aktivkonto,Ja,
1590,"Interimskonto / Kontierung nicht bekannt",Interimskonto,"Verrechnungskonto","Technisches Konto","","","Sammelkonto für unklare Geschäftsvorfälle, muss zeitnah aufgelöst werden.","","","",Aktivkonto,Nein,
1600,"Verbindlichkeiten aus Lieferungen und Leistungen",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Sammelkonto für offene Lieferantenrechnungen (Kreditoren).","","","",Passivkonto,Nein,3400
1605,"Verbindlichkeiten aus Lieferungen und Leistungen zum allg. Umsatzsteuersatz",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Detaillierung der Verbindlichkeiten nach Vorsteuersatz (hier: Regelsatz).","","","",Passivkonto,Nein,3400
1606,"Verbindlichkeiten aus Lieferungen und Leistungen zum erm. Umsatzsteuersatz",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Detaillierung der Verbindlichkeiten nach Vorsteuersatz (hier: ermäßigter Satz).","","","",Passivkonto,Nein,3300
1607,"Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Verbindlichkeiten aus Rechnungen ohne Vorsteuerabzug (z.B. von Kleinunternehmern).","","","",Passivkonto,Nein,
1609,"Gegenkonto Aufteilung Verbindlichkeiten Lieferungen und Leistungen",Verbindlichkeiten,Verrechnungskonto,"","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Technisches Konto zur Aufteilung von Verbindlichkeiten.","","","",Passivkonto,Nein,
1610,"Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Für Kreditoren, die nicht über ein Personenkonto geführt werden.","","","",Passivkonto,Nein,
1624,"Verbindlichkeiten aus Lieferungen und Leistungen für § 4/3 EStG",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","Technisches Konto für EÜR","","Abgrenzung von regelmäßig wiederkehrenden Ausgaben bei EÜR.","","","",Passivkonto,Nein,
1625,"Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent bis 1 Jahr",Verbindlichkeiten,"Verbindlichkeiten aus LuL","","D.1. Verbindlichkeiten aus Lieferungen und Leistungen","","Verbindlichkeiten (nicht kontokorrent) mit Restlaufzeit bis 1 Jahr.","","","",Passivkonto,Nein,
1650,"Verbindlichkeiten aus Lieferungen und Leistungen ggü. Gesellschaftern",Verbindlichkeiten,"Verbindlichkeiten ggü. Gesellschaftern","","D.3. Verbindlichkeiten gegenüber Gesellschaftern","","Offene Rechnungen aus Lieferungen und Leistungen von Gesellschaftern.","","","",Passivkonto,Nein,
1700,"Sonstige Verbindlichkeiten",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Sammelkonto für Verbindlichkeiten, die keiner anderen Kategorie zugeordnet werden können.","","","",Passivkonto,Nein,
1701,"Sonstige Verbindlichkeiten - Restlaufzeit bis 1 Jahr",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Sonstige Verbindlichkeiten mit einer Restlaufzeit von bis zu einem Jahr.","","","",Passivkonto,Nein,
1702,"Sonstige Verbindlichkeiten - Restlaufzeit 1 bis 5 Jahre",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Sonstige Verbindlichkeiten mit einer Restlaufzeit von 1 bis 5 Jahren.","","","",Passivkonto,Nein,
1705,"Erhaltene Darlehen",Verbindlichkeiten,"Verbindlichkeiten ggü. Kreditinstituten","","D.2. Verbindlichkeiten gegenüber Kreditinstituten","","Aufgenommene Darlehen, in der Regel von Banken.","","","",Passivkonto,Nein,1200
1706,"Erhaltene Darlehen - Restlaufzeit bis 1 Jahr",Verbindlichkeiten,"Verbindlichkeiten ggü. Kreditinstituten","","D.2. Verbindlichkeiten gegenüber Kreditinstituten","","Anteil der Darlehen mit einer Restlaufzeit von bis zu einem Jahr.","","","",Passivkonto,Nein,
1707,"Erhaltene Darlehen - Restlaufzeit 1 bis 5 Jahre",Verbindlichkeiten,"Verbindlichkeiten ggü. Kreditinstituten","","D.2. Verbindlichkeiten gegenüber Kreditinstituten","","Anteil der Darlehen mit einer Restlaufzeit von 1 bis 5 Jahren.","","","",Passivkonto,Nein,
1710,"Verbindlichkeiten ggü. Kreditinstituten",Verbindlichkeiten,"Verbindlichkeiten ggü. Kreditinstituten","","D.2. Verbindlichkeiten gegenüber Kreditinstituten","","Sammelkonto für Verbindlichkeiten gegenüber Banken (z.B. Kontokorrentkredit).","","","",Passivkonto,Nein,
1711,"Verbindlichkeiten ggü. Kreditinstituten - Restlaufzeit bis 1 Jahr",Verbindlichkeiten,"Verbindlichkeiten ggü. Kreditinstituten","","D.2. Verbindlichkeiten gegenüber Kreditinstituten","","Verbindlichkeiten gegenüber Banken mit Restlaufzeit bis 1 Jahr.","","","",Passivkonto,Nein,
1725,"Verbindlichkeiten ggü. Gesellschaftern",Verbindlichkeiten,"Verbindlichkeiten ggü. Gesellschaftern","","D.3. Verbindlichkeiten gegenüber Gesellschaftern","","Sammelkonto für Verbindlichkeiten gegenüber Gesellschaftern (z.B. Darlehen).","","","",Passivkonto,Nein,1200
1726,"Verbindlichkeiten ggü. Gesellschaftern - Restlaufzeit bis 1 Jahr",Verbindlichkeiten,"Verbindlichkeiten ggü. Gesellschaftern","","D.3. Verbindlichkeiten gegenüber Gesellschaftern","","Verbindlichkeiten an Gesellschafter mit Restlaufzeit bis 1 Jahr.","","","",Passivkonto,Nein,
1729,"Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen",Verbindlichkeiten,"Verbindlichkeiten ggü. Gesellschaftern","","D.3. Verbindlichkeiten gegenüber Gesellschaftern","","Verbindlichkeit aus beschlossenen, aber noch nicht ausgezahlten Gewinnausschüttungen.","","","",Passivkonto,Nein,
1730,"Kreditkartenabrechnung",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Verbindlichkeit gegenüber dem Kreditkarteninstitut aus der Monatsabrechnung.","","","",Passivkonto,Nein,1200
1736,"Verbindlichkeiten aus Steuern und Abgaben",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Sammelkonto für Steuerschulden (außer USt).","","","",Passivkonto,Nein,
1737,"Verbindlichkeiten aus Steuern und Abgaben - bis 1 Jahr",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Steuerschulden mit einer Restlaufzeit von bis zu einem Jahr.","","","",Passivkonto,Nein,
1738,"Verbindlichkeiten aus Steuern und Abgaben - 1-5 Jahre",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Steuerschulden mit einer Restlaufzeit von 1 bis 5 Jahren.","","","",Passivkonto,Nein,
1739,"Verbindlichkeiten aus Steuern und Abgaben - größer 5 Jahre",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Steuerschulden mit einer Restlaufzeit von mehr als 5 Jahren.","","","",Passivkonto,Nein,
1740,"Verbindlichkeiten aus Lohn und Gehalt",Verbindlichkeiten,"Verbindlichkeiten Lohn & Gehalt","","D.4. Sonstige Verbindlichkeiten","","Noch nicht ausgezahlte Nettolöhne und -gehälter.","","","",Passivkonto,Nein,4110
1741,"Verbindlichkeiten aus Lohn- und Kirchensteuer",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Einbehaltene, aber noch nicht an das Finanzamt abgeführte Lohn- und Kirchensteuer.","","","",Passivkonto,Nein,4110
1742,"Verbindlichkeiten im Rahmen der sozialen Sicherheit",Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit)","","Noch nicht abgeführte Sozialversicherungsbeiträge (Arbeitnehmer- und Arbeitgeberanteil).","","","",Passivkonto,Nein,4130
1743,"Verbindlichkeiten im Rahmen der sozialen Sicherheit - bis 1 Jahr",Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit)","","Sozialversicherungsbeiträge mit einer Restlaufzeit von bis zu einem Jahr.","","","",Passivkonto,Nein,
1744,"Verbindlichkeiten im Rahmen der sozialen Sicherheit - 1-5 Jahre",Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit)","","Sozialversicherungsbeiträge mit einer Restlaufzeit von 1 bis 5 Jahren.","","","",Passivkonto,Nein,
1745,"Verbindlichkeiten im Rahmen der sozialen Sicherheit - größer 5 Jahre",Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit)","","Sozialversicherungsbeiträge mit einer Restlaufzeit von mehr als 5 Jahren.","","","",Passivkonto,Nein,
1746,"Verbindlichkeiten aus Einbehaltungen (KapESt und SolZ, KiSt auf KapESt) für offene Ausschüttungen",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Einbehaltene Steuern auf Ausschüttungen, die noch an das Finanzamt abzuführen sind.","","","",Passivkonto,Nein,
1747,"Verbindlichkeiten für Verbrauchsteuern",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Noch nicht abgeführte Verbrauchsteuern (z.B. Energiesteuer, Kaffeesteuer).","","","",Passivkonto,Nein,
1748,"Verbindlichkeiten für Einbehaltungen von Arbeitnehmern",Verbindlichkeiten,"Verbindlichkeiten Lohn & Gehalt","","D.4. Sonstige Verbindlichkeiten","","Sonstige Einbehalte vom Lohn (z.B. Pfändungen, Gewerkschaftsbeiträge).","","","",Passivkonto,Nein,4110
1749,"Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin aus Steuern)","","Einbehaltene Bauabzugsteuer nach § 48 EStG, die noch an das Finanzamt abzuführen ist.","","","",Passivkonto,Nein,
1750,"Verbindlichkeiten aus Vermögensbildung",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Verbindlichkeiten aus vermögenswirksamen Leistungen für Arbeitnehmer.","","","",Passivkonto,Nein,4170
1751,"Verbindlichkeiten aus Vermögensbildung - Restlaufzeit bis 1 Jahr",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit bis 1 Jahr.","","","",Passivkonto,Nein,
1752,"Verbindlichkeiten aus Vermögensbildung - Restlaufzeit 1-5 Jahre",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit von 1 bis 5 Jahren.","","","",Passivkonto,Nein,
1753,"Verbindlichkeiten aus Vermögensbildung - Restlaufzeit größer 5 Jahre",Verbindlichkeiten,"Sonstige Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit über 5 Jahren.","","","",Passivkonto,Nein,
1754,"Steuerzahlungen an andere Länder",Verbindlichkeiten,Steuerverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten","","Zahlungen an ausländische Finanzbehörden (z.B. aus MOSS-Verfahren).","","","Vereinnahmte Umsatzsteuer",Passivkonto,Nein,
1755,"Verrechnungskonto Lohn und Gehalt",Interimskonto,Verrechnungskonto,"","Technisches Konto","","Technisches Verrechnungskonto für die Lohnbuchhaltung, muss ausgeglichen sein.","","","",Passivkonto,Nein,
1756,"Lohn- und Gehaltsverrechnung § 11 Abs. 2 EStG für § 4/3 EStG",Interimskonto,"Verrechnungskonto EÜR","","Technisches Konto für EÜR","","Technisches Konto zur Abgrenzung von Löhnen bei EÜR.","","","",Passivkonto,Nein,
1759,"Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern",Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,"","D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit)","","Gegenkonto für die Schätzung der SV-Beiträge am Monatsende.","","","",Passivkonto,Nein,
1760,"Umsatzsteuer nicht fällig",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer aus erhaltenen Anzahlungen bei Soll-Versteuerung.","","","",Passivkonto,Nein,
1761,"Umsatzsteuer nicht fällig 7%",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer (7%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.","","","",Passivkonto,Nein,
1762,"Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer aus erhaltenen Anzahlungen bei Soll-Versteuerung für EU-Lieferungen.","","","",Passivkonto,Nein,
1763,"Umsatzsteuer nicht fällig 5%",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer (5%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.","","","",Passivkonto,Nein,
1764,"Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19%",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer (19%) aus erhaltenen Anzahlungen bei Soll-Versteuerung für EU-Lieferungen.","","","",Passivkonto,Nein,
1765,"Umsatzsteuer nicht fällig 16%",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer (16%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.","","","",Passivkonto,Nein,
1766,"Umsatzsteuer nicht fällig 19%",Verbindlichkeiten,"Umsatzsteuer-Verbindlichkeiten (nicht fällig)","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer (19%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.","","","",Passivkonto,Nein,
1767,"Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Lieferungen",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuerschuld aus Lieferungen, die im EU-Ausland steuerbar sind.","","","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
1768,"Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Leistungen",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuerschuld aus Leistungen, die im EU-Ausland steuerbar sind (MOSS).","","","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
1769,"Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuerschuld, die bei der Entnahme von Waren aus einem USt-Lager entsteht.","70","","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
1770,"Umsatzsteuer (andere Steuersätze, nicht 7% u. 19%)",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Sammelkonto für Umsatzsteuer zu Sondersätzen.","36","","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
1771,"Umsatzsteuer 7%",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuerschuld aus Umsätzen zum ermäßigten Satz.","86","2","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
1772,"Umsatzsteuer 7% innergem. Erwerb",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuer aus innergemeinschaftlichem Erwerb zum ermäßigten Satz.","93","2","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
1773,"Umsatzsteuer 5%",Umsatzsteuer,"Umsatzsteuer-Verbindlichkeiten","","D.4. Sonstige Verbindlichkeiten","","Umsatzsteuerschuld aus Umsätzen zum temporär gesenkten ermäßigten Satz.","35","2","Vereinnahmte Umsatzsteuer",Passivkonto,Ja,
