Kontonummer,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position,Handlungshilfe,UStVA_Kennzahl,Steuerschluessel,USt_Berichtskategorie,Kontoart,Automatikkonto,Standard-Gegenkonto
1561,Aufzuteilende Vorsteuer 7%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für den ermäßigten Steuersatz.",,,verauslagte Vorsteuern,,,
1562,Aufzuteilende Vorsteuer aus innergem. Erwerb 7%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für innergemeinschaftlichen Erwerb zum ermäßigten Satz.",,,verauslagte Vorsteuern,,,
1563,Aufzuteilende Vorsteuer aus innergem. Erwerb 19%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für innergemeinschaftlichen Erwerb zum Regelsatz.",,,verauslagte Vorsteuern,,,
1564,Aufzuteilende Vorsteuer 5%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für den temporär gesenkten ermäßigten Satz.",,,verauslagte Vorsteuern,,,
1565,Aufzuteilende Vorsteuer 16%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für den temporär gesenkten Regelsatz.",,,verauslagte Vorsteuern,,,
1566,Aufzuteilende Vorsteuer 19%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für den Regelsteuersatz.",,,verauslagte Vorsteuern,,,
1567,Aufzuteilende Vorsteuer nach §§ 13a/13b UStG,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1560, hier für §13b-Sachverhalte (Reverse Charge).",,,verauslagte Vorsteuern,,,
1568,Abziehbare Vorsteuer 5%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer zum temporär gesenkten ermäßigten Satz.,66,9,verauslagte Vorsteuern,,,
1569,Aufzuteilende Vorsteuer nach §§ 13a/13b UStG 19%,Forderungen,Verrechnungskonto Vorsteuer,B.II.4. Sonstige Vermögensgegenstände,,,"Siehe Konto 1567, hier explizit für den Regelsteuersatz.",,,verauslagte Vorsteuern,,,
1570,Abziehbare Vorsteuer,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Sammelkonto für abziehbare Vorsteuer ohne Steuersatz-Zuordnung.,66,9,verauslagte Vorsteuern,,,
1571,Abziehbare Vorsteuer 7%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer zum ermäßigten Steuersatz.,66,9,verauslagte Vorsteuern,,,
1572,Abziehbare Vorsteuer 7% innergem. Erwerb,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer aus innergem. Erwerb zum ermäßigten Satz.,61,9,verauslagte Vorsteuern,,,
1573,Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Spezialkonto für Vorsteuer im Rahmen von innergemeinschaftlichen Dreiecksgeschäften.,66,9,verauslagte Vorsteuern,,,
1574,Abziehbare Vorsteuer 19% innergem. Erwerb,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer aus innergem. Erwerb zum Regelsatz.,61,9,verauslagte Vorsteuern,,,
1575,Abziehbare Vorsteuer 16%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer zum temporär gesenkten Regelsatz.,66,9,verauslagte Vorsteuern,,,
1576,Abziehbare Vorsteuer 19%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer zum Regelsteuersatz.,66,9,verauslagte Vorsteuern,,,
1577,Abziehbare Vorsteuer § 13b UStG 19%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG) zum Regelsatz.,67,9,verauslagte Vorsteuern,,,
1578,Abziehbare Vorsteuer § 13b UStG,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Sammelkonto für abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG).,67,9,verauslagte Vorsteuern,,,
1579,Abziehbare Vorsteuer § 13b UStG 16%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG) zum temporär gesenkten Satz.,67,9,verauslagte Vorsteuern,,,
1580,Gegenkonto Vorsteuer § 4/3 EStG,Forderungen,Verrechnungskonto EÜR,Technisches Konto für EÜR,,,Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,verauslagte Vorsteuern,,,
1581,Auflösung Vorsteuer aus Vorjahr § 4/3 EStG,Forderungen,Verrechnungskonto EÜR,Technisches Konto für EÜR,,,Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,verauslagte Vorsteuern,,,
1582,Vorsteuer aus Investitionen § 4 Abs. 3 EStG,Forderungen,Verrechnungskonto EÜR,Technisches Konto für EÜR,,,Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,verauslagte Vorsteuern,,,
1583,Gegenkonto für Vorsteuer nach Durchschnittssätzen für § 4/3 EStG,Forderungen,Verrechnungskonto EÜR,Technisches Konto für EÜR,,,Technisches Konto für pauschale Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,verauslagte Vorsteuern,,,
1588,Bezahlte Einfuhrumsatzsteuer,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,"Als Vorsteuer abziehbare, an den Zoll gezahlte Einfuhrumsatzsteuer.",62,9,verauslagte Vorsteuern,,,
1589,Abziehbare Vorsteuer 16% aus innergem. Erwerb,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),B.II.4. Sonstige Vermögensgegenstände,,,Abziehbare Vorsteuer aus innergem. Erwerb zum temporär gesenkten Satz.,61,9,verauslagte Vorsteuern,,,
1590,Interimskonto / Kontierung nicht bekannt,Interimskonto,Verrechnungskonto,Technisches Konto,,,"Sammelkonto für unklare Geschäftsvorfälle, muss zeitnah aufgelöst werden.",,,,,,
1600,Verbindlichkeiten aus Lieferungen und Leistungen,Verbindlichkeiten,Verbindlichkeiten aus LuL,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,Sammelkonto für offene Lieferantenrechnungen (Kreditoren).,,,,,,
1605,Verbindlichkeiten aus Lieferungen und Leistungen zum allg. Umsatzsteuersatz,Verbindlichkeiten,Verbindlichkeiten aus LuL,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,Detaillierung der Verbindlichkeiten nach Vorsteuersatz (hier: Regelsatz).,,,,,,
1606,Verbindlichkeiten aus Lieferungen und Leistungen zum erm. Umsatzsteuersatz,Verbindlichkeiten,Verbindlichkeiten aus LuL,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,Detaillierung der Verbindlichkeiten nach Vorsteuersatz (hier: ermäßigter Satz).,,,,,,
1607,Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug,Verbindlichkeiten,Verbindlichkeiten aus LuL,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,Verbindlichkeiten aus Rechnungen ohne Vorsteuerabzug (z.B. von Kleinunternehmern).,,,,,,
1609,Gegenkonto Aufteilung Verbindlichkeiten Lieferungen und Leistungen,Verbindlichkeiten,Verrechnungskonto,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,Technisches Konto zur Aufteilung von Verbindlichkeiten.,,,,,,
1610,Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent,Verbindlichkeiten,Verbindlichkeiten aus LuL,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,"Für Kreditoren, die nicht über ein Personenkonto geführt werden.",,,,,,
1624,Verbindlichkeiten aus Lieferungen und Leistungen für § 4/3 EStG,Verbindlichkeiten,Verbindlichkeiten aus LuL,,Technisches Konto für EÜR,,Abgrenzung von regelmäßig wiederkehrenden Ausgaben bei EÜR.,,,,,,
1625,Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten aus LuL,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,,Verbindlichkeiten (nicht kontokorrent) mit Restlaufzeit bis 1 Jahr.,,,,,,
1650,Verbindlichkeiten aus Lieferungen und Leistungen ggü. Gesellschaftern,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,,Offene Rechnungen aus Lieferungen und Leistungen von Gesellschaftern.,,,,,,
1700,Sonstige Verbindlichkeiten,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,"Sammelkonto für Verbindlichkeiten, die keiner anderen Kategorie zugeordnet werden können.",,,,,,
1701,Sonstige Verbindlichkeiten - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Sonstige Verbindlichkeiten mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1702,Sonstige Verbindlichkeiten - Restlaufzeit 1 bis 5 Jahre,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Sonstige Verbindlichkeiten mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,,
1705,Erhaltene Darlehen,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,,"Aufgenommene Darlehen, in der Regel von Banken.",,,,,,
1706,Erhaltene Darlehen - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,,Anteil der Darlehen mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1707,Erhaltene Darlehen - Restlaufzeit 1 bis 5 Jahre,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,,Anteil der Darlehen mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,,
1710,Verbindlichkeiten ggü. Kreditinstituten,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,,Sammelkonto für Verbindlichkeiten gegenüber Banken (z.B. Kontokorrentkredit).,,,,,,
1711,Verbindlichkeiten ggü. Kreditinstituten - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,,Verbindlichkeiten gegenüber Banken mit Restlaufzeit bis 1 Jahr.,,,,,,
1725,Verbindlichkeiten ggü. Gesellschaftern,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,,Sammelkonto für Verbindlichkeiten gegenüber Gesellschaftern (z.B. Darlehen).,,,,,,
1726,Verbindlichkeiten ggü. Gesellschaftern - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,,Verbindlichkeiten an Gesellschafter mit Restlaufzeit bis 1 Jahr.,,,,,,
1729,Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,,"Verbindlichkeit aus beschlossenen, aber noch nicht ausgezahlten Gewinnausschüttungen.",,,,,,
1730,Kreditkartenabrechnung,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Verbindlichkeit gegenüber dem Kreditkarteninstitut aus der Monatsabrechnung.,,,,,,
1736,Verbindlichkeiten aus Steuern und Abgaben,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Sammelkonto für Steuerschulden (außer USt).,,,,,,
1737,Verbindlichkeiten aus Steuern und Abgaben - bis 1 Jahr,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Steuerschulden mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1738,Verbindlichkeiten aus Steuern und Abgaben - 1-5 Jahre,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Steuerschulden mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,,
1739,Verbindlichkeiten aus Steuern und Abgaben - größer 5 Jahre,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Steuerschulden mit einer Restlaufzeit von mehr als 5 Jahren.,,,,,,
1740,Verbindlichkeiten aus Lohn und Gehalt,Verbindlichkeiten,Verbindlichkeiten Lohn & Gehalt,,D.4. Sonstige Verbindlichkeiten,,Noch nicht ausgezahlte Nettolöhne und -gehälter.,,,,,,
1741,Verbindlichkeiten aus Lohn- und Kirchensteuer,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,"Einbehaltene, aber noch nicht an das Finanzamt abgeführte Lohn- und Kirchensteuer.",,,,,,
1742,Verbindlichkeiten im Rahmen der sozialen Sicherheit,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),,Noch nicht abgeführte Sozialversicherungsbeiträge (Arbeitnehmer- und Arbeitgeberanteil).,,,,,,
1743,Verbindlichkeiten im Rahmen der sozialen Sicherheit - bis 1 Jahr,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),,Sozialversicherungsbeiträge mit einer Restlaufzeit von bis zu einem Jahr.,,,,,,
1744,Verbindlichkeiten im Rahmen der sozialen Sicherheit - 1-5 Jahre,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),,Sozialversicherungsbeiträge mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,,
1745,Verbindlichkeiten im Rahmen der sozialen Sicherheit - größer 5 Jahre,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),,Sozialversicherungsbeiträge mit einer Restlaufzeit von mehr als 5 Jahren.,,,,,,
1746,"Verbindlichkeiten aus Einbehaltungen (KapESt und SolZ, KiSt auf KapESt) für offene Ausschüttungen",Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,"Einbehaltene Steuern auf Ausschüttungen, die noch an das Finanzamt abzuführen sind.",,,,,,
1747,Verbindlichkeiten für Verbrauchsteuern,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,"Noch nicht abgeführte Verbrauchsteuern (z.B. Energiesteuer, Kaffeesteuer).",,,,,,
1748,Verbindlichkeiten für Einbehaltungen von Arbeitnehmern,Verbindlichkeiten,Verbindlichkeiten Lohn & Gehalt,,D.4. Sonstige Verbindlichkeiten,,"Sonstige Einbehalte vom Lohn (z.B. Pfändungen, Gewerkschaftsbeiträge).",,,,,,
1749,Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,"Einbehaltene Bauabzugsteuer nach § 48 EStG, die noch an das Finanzamt abzuführen ist.",,,,,,
1750,Verbindlichkeiten aus Vermögensbildung,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Verbindlichkeiten aus vermögenswirksamen Leistungen für Arbeitnehmer.,,,,,,
1751,Verbindlichkeiten aus Vermögensbildung - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit bis 1 Jahr.,,,,,,
1752,Verbindlichkeiten aus Vermögensbildung - Restlaufzeit 1-5 Jahre,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit von 1 bis 5 Jahren.,,,,,,
1753,Verbindlichkeiten aus Vermögensbildung - Restlaufzeit größer 5 Jahre,Verbindlichkeiten,Sonstige Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit über 5 Jahren.,,,,,,
1754,Steuerzahlungen an andere Länder,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Zahlungen an ausländische Finanzbehörden (z.B. aus MOSS-Verfahren).,,,vereinnahmte Umsatzsteuer,,,
1755,Verrechnungskonto Lohn und Gehalt,Interimskonto,Verrechnungskonto,,Technisches Konto,,"Technisches Verrechnungskonto für die Lohnbuchhaltung, muss ausgeglichen sein.",,,,,,
1756,Lohn- und Gehaltsverrechnung § 11 Abs. 2 EStG für § 4/3 EStG,Interimskonto,Verrechnungskonto EÜR,,Technisches Konto für EÜR,,Technisches Konto zur Abgrenzung von Löhnen bei EÜR.,,,,,,
1759,Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),,Gegenkonto für die Schätzung der SV-Beiträge am Monatsende.,,,,,,
1760,Umsatzsteuer nicht fällig,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,,
1761,Umsatzsteuer nicht fällig 7%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer (7%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,,
1762,Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer aus erhaltenen Anzahlungen bei Soll-Versteuerung für EU-Lieferungen.,,,,,,
1763,Umsatzsteuer nicht fällig 5%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer (5%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,,
1764,Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer (19%) aus erhaltenen Anzahlungen bei Soll-Versteuerung für EU-Lieferungen.,,,,,,
1765,Umsatzsteuer nicht fällig 16%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer (16%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,,
1766,Umsatzsteuer nicht fällig 19%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer (19%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,,
1767,Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Lieferungen,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,"Umsatzsteuerschuld aus Lieferungen, die im EU-Ausland steuerbar sind.",,,vereinnahmte Umsatzsteuer,,,
1768,Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Leistungen,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,"Umsatzsteuerschuld aus Leistungen, die im EU-Ausland steuerbar sind (MOSS).",,,vereinnahmte Umsatzsteuer,,,
1769,Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,"Umsatzsteuerschuld, die bei der Entnahme von Waren aus einem USt-Lager entsteht.",70,,vereinnahmte Umsatzsteuer,,,
1770,"Umsatzsteuer (andere Steuersätze, nicht 7% u. 19%)",Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Sammelkonto für Umsatzsteuer zu Sondersätzen.,36,,vereinnahmte Umsatzsteuer,,,
1771,Umsatzsteuer 7%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus Umsätzen zum ermäßigten Satz.,86,2,vereinnahmte Umsatzsteuer,,,
1772,Umsatzsteuer 7% innergem. Erwerb,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer aus innergemeinschaftlichem Erwerb zum ermäßigten Satz.,93,2,vereinnahmte Umsatzsteuer,,,
1773,Umsatzsteuer 5%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus Umsätzen zum temporär gesenkten ermäßigten Satz.,35,2,vereinnahmte Umsatzsteuer,,,
1774,Umsatzsteuer 19% innergem. Erwerb,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer aus innergemeinschaftlichem Erwerb zum Regelsatz.,89,3,vereinnahmte Umsatzsteuer,,,
1775,Umsatzsteuer 16%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus Umsätzen zum temporär gesenkten Regelsatz.,35,3,vereinnahmte Umsatzsteuer,,,
1776,Umsatzsteuer 19%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus Umsätzen zum Regelsatz.,81,3,vereinnahmte Umsatzsteuer,,,
1777,Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus Lieferungen an Privatpersonen in der EU (vor OSS).,,,vereinnahmte Umsatzsteuer,,,
1778,Umsatzsteuer aus im Inland steuerpflichtigen EU-Lieferungen 19%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld (19%) aus Lieferungen an Privatpersonen in der EU (vor OSS).,,,vereinnahmte Umsatzsteuer,,,
1779,Umsatzsteuer 19% innergem. Erwerb ohne VSt.-Abzug,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,"Umsatzsteuer aus innergem. Erwerb, wenn kein Vorsteuerabzug möglich ist.",89,3,vereinnahmte Umsatzsteuer,,,
1780,Umsatzsteuer - Vorauszahlungen / Erstattungen,Umsatzsteuer,Verrechnungskonto USt,,Verrechnungskonto Finanzamt,,Verrechnungskonto für USt-Zahllast und Zahlungen/Erstattungen an das Finanzamt.,,,Umsatzsteuervorauszahlungen,,,
1781,Umsatzsteuer - Vorauszahlungen 1/11 für Dauerfristverlängerung,Umsatzsteuer,Verrechnungskonto USt,,Verrechnungskonto Finanzamt,,Buchung der Sondervorauszahlung für die Dauerfristverlängerung.,39,,Umsatzsteuervorauszahlungen,,,
1782,Nachsteuer (KZ. 65),Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus der Berichtigung des Vorsteuerabzugs nach §15a UStG.,65,,Umsatzsteuervorauszahlungen,,,
1783,Unrichtig oder unberechtigt ausgewiesene Umsatzsteuer (Kz. 69),Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld nach § 14c UStG.,69,,vereinnahmte Umsatzsteuer,,,
1784,Umsatzsteuer aus EU-Erwerb von Neufahrzeugen von Lieferanten ohne USt.-ID,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer für den Erwerb von Neufahrzeugen von Privatpersonen im EU-Ausland.,96,,vereinnahmte Umsatzsteuer,,,
1785,Umsatzsteuer nach § 13b UStG,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld aus Reverse-Charge-Sachverhalten (§ 13b UStG).,84,3,vereinnahmte Umsatzsteuer,,,
1786,Umsatzsteuer aus innergemeinschaftlichem Erwerb 16 %,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuer aus innergem. Erwerb zum temporär gesenkten Satz.,95,3,vereinnahmte Umsatzsteuer,,,
1787,Umsatzsteuer nach § 13b UStG mit VSt.-Abzug 19%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,,D.4. Sonstige Verbindlichkeiten,,Umsatzsteuerschuld (19%) aus Reverse-Charge-Sachverhalten (§ 13b UStG).,84,3,vereinnahmte Umsatzsteuer,,,
1788,Aufgeschobene Einfuhrumsatzsteuer,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,"Verbindlichkeit aus EUSt, deren Fälligkeit im Rahmen eines zugelassenen Verfahrens aufgeschoben wurde.",,,vereinnahmte Umsatzsteuer,,,
1789,Umsatzsteuer laufendes Jahr,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Verrechnungskonto für die Umsatzsteuerzahllast des laufenden Geschäftsjahres.,,,vereinnahmte Umsatzsteuer,,,
1790,Umsatzsteuer Vorjahr,Verbindlichkeiten,Steuerverbindlichkeiten,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),,Verbindlichkeiten oder Forderungen aus der Umsatzsteuer-Jahreserklärung des Vorjahres.,,,Umsatzsteuer Vorjahre,,,
