Konto-Nr.,Kontenbezeichnung,Kontenkategorie,Kontenunterart,Kontoart,Handlungshilfe,Standard-Ggkto.,UStVA_Kennz.,Steuerschluessel,USt_Berichtskat.,Automatikkonto,Bilanzposition_Aktiva,Bilanzposition_Passiva,GuV_Position
1546,Umsatzsteuerforderungen Vorjahr,Forderungen,Forderungen an Finanzamt (USt),Aktivkonto,Umsatzsteuer-Erstattungsanspruch aus der Jahreserklärung des Vorjahres.,1790,,,Umsatzsteuererstattungen,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1547,Forderungen aus Verbrauchsteuern,Forderungen,Forderungen an Finanzamt,Aktivkonto,Erstattungsansprüche aus Verbrauchsteuern (z.B. Energiesteuer).,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1548,Vorsteuer im Folgejahr abziehbar,Forderungen,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,"Abgrenzung von Vorsteuer, die erst im Folgejahr geltend gemacht werden kann.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1549,Körperschaftsteuerrückforderung,Forderungen,Forderungen an Finanzamt,Aktivkonto,Erstattungsanspruch aus Körperschaftsteuer-Vorauszahlungen.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1550,Gewährte Darlehen,Forderungen,Ausleihungen,Aktivkonto,An Dritte ausgereichte Darlehen.,1200,,,,Nein,A.III.5. Sonstige Ausleihungen,,
1551,Gewährte Darlehen - Restlaufzeit bis 1 Jahr,Forderungen,Ausleihungen,Aktivkonto,An Dritte ausgereichte Darlehen mit Restlaufzeit bis 1 Jahr.,1200,,,,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1555,Gewährte Darlehen - Restlaufzeit größer 1 Jahr,Forderungen,Ausleihungen,Aktivkonto,An Dritte ausgereichte Darlehen mit Restlaufzeit über 1 Jahr.,1200,,,,Nein,A.III.5. Sonstige Ausleihungen,,
1556,"Nachträglich abziehbare Vorsteuer, bewegliche Wirtschaftsgüter",Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Vorsteuerkorrektur nach § 15a UStG für bewegliche WG zu Gunsten des Unternehmens.,,64,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1557,"Zurückzuzahlende Vorsteuer, bewegliche Wirtschaftsgüter",Vorsteuer,Verbindlichkeiten ggü. Finanzamt (Vorsteuer),Passivkonto,Vorsteuerkorrektur nach § 15a UStG für bewegliche WG zu Lasten des Unternehmens.,,64,9,Verauslagte Vorsteuern,Ja,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1560,Aufzuteilende Vorsteuer,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Verrechnungskonto für Vorsteuer, die teilweise abziehbar ist (z.B. bei gemischt genutzten Gebäuden).",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1561,Aufzuteilende Vorsteuer 7%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für den ermäßigten Steuersatz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1562,Aufzuteilende Vorsteuer aus innergem. Erwerb 7%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für innergemeinschaftlichen Erwerb zum ermäßigten Satz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1563,Aufzuteilende Vorsteuer aus innergem. Erwerb 19%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für innergemeinschaftlichen Erwerb zum Regelsatz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1564,Aufzuteilende Vorsteuer 5%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für den temporär gesenkten ermäßigten Satz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1565,Aufzuteilende Vorsteuer 16%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für den temporär gesenkten Regelsatz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1566,Aufzuteilende Vorsteuer 19%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für den Regelsteuersatz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1567,Aufzuteilende Vorsteuer nach §§ 13a/13b UStG,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1560, hier für §13b-Sachverhalte (Reverse Charge).",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1568,Abziehbare Vorsteuer 5%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer zum temporär gesenkten ermäßigten Satz.,,66,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1569,Aufzuteilende Vorsteuer nach §§ 13a/13b UStG 19%,Forderungen,Verrechnungskonto Vorsteuer,Aktivkonto,"Siehe Konto 1567, hier explizit für den Regelsteuersatz.",,,,Verauslagte Vorsteuern,Nein,B.II.4. Sonstige Vermögensgegenstände,,
1570,Abziehbare Vorsteuer,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Sammelkonto für abziehbare Vorsteuer ohne Steuersatz-Zuordnung.,,66,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1571,Abziehbare Vorsteuer 7%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer zum ermäßigten Steuersatz.,,66,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1572,Abziehbare Vorsteuer 7% innergem. Erwerb,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer aus innergem. Erwerb zum ermäßigten Satz.,,61,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1573,Vorsteuer aus Erwerb als letzter Abnehmer innerhalb eines Dreiecksgeschäfts,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Spezialkonto für Vorsteuer im Rahmen von innergemeinschaftlichen Dreiecksgeschäften.,,66,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1574,Abziehbare Vorsteuer 19% innergem. Erwerb,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer aus innergem. Erwerb zum Regelsatz.,,61,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1575,Abziehbare Vorsteuer 16%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer zum temporär gesenkten Regelsatz.,,66,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1576,Abziehbare Vorsteuer 19%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer zum Regelsteuersatz.,,66,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1577,Abziehbare Vorsteuer § 13b UStG 19%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG) zum Regelsatz.,,67,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1578,Abziehbare Vorsteuer § 13b UStG,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Sammelkonto für abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG).,,67,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1579,Abziehbare Vorsteuer § 13b UStG 16%,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer aus Reverse-Charge-Sachverhalten (§ 13b UStG) zum temporär gesenkten Satz.,,67,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1580,Gegenkonto Vorsteuer § 4/3 EStG,Forderungen,Verrechnungskonto EÜR,Aktivkonto,Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,,Verauslagte Vorsteuern,Nein,Technisches Konto für EÜR,,
1581,Auflösung Vorsteuer aus Vorjahr § 4/3 EStG,Forderungen,Verrechnungskonto EÜR,Aktivkonto,Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,,Verauslagte Vorsteuern,Nein,Technisches Konto für EÜR,,
1582,Vorsteuer aus Investitionen § 4 Abs. 3 EStG,Forderungen,Verrechnungskonto EÜR,Aktivkonto,Technisches Konto für die Behandlung der Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,,Verauslagte Vorsteuern,Nein,Technisches Konto für EÜR,,
1583,Gegenkonto für Vorsteuer nach Durchschnittssätzen für § 4/3 EStG,Forderungen,Verrechnungskonto EÜR,Aktivkonto,Technisches Konto für pauschale Vorsteuer bei Einnahmen-Überschuss-Rechnung.,,,,Verauslagte Vorsteuern,Nein,Technisches Konto für EÜR,,
1588,Bezahlte Einfuhrumsatzsteuer,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,"Als Vorsteuer abziehbare, an den Zoll gezahlte Einfuhrumsatzsteuer.",,62,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1589,Abziehbare Vorsteuer 16% aus innergem. Erwerb,Vorsteuer,Forderungen an Finanzamt (Vorsteuer),Aktivkonto,Abziehbare Vorsteuer aus innergem. Erwerb zum temporär gesenkten Satz.,,61,9,Verauslagte Vorsteuern,Ja,B.II.4. Sonstige Vermögensgegenstände,,
1590,Interimskonto / Kontierung nicht bekannt,Interimskonto,Verrechnungskonto,Aktivkonto,"Sammelkonto für unklare Geschäftsvorfälle, muss zeitnah aufgelöst werden.",,,,,Nein,Technisches Konto,,
1600,Verbindlichkeiten aus Lieferungen und Leistungen,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,Sammelkonto für offene Lieferantenrechnungen (Kreditoren).,3400,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1605,Verbindlichkeiten aus Lieferungen und Leistungen zum allg. Umsatzsteuersatz,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,Detaillierung der Verbindlichkeiten nach Vorsteuersatz (hier: Regelsatz).,3400,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1606,Verbindlichkeiten aus Lieferungen und Leistungen zum erm. Umsatzsteuersatz,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,Detaillierung der Verbindlichkeiten nach Vorsteuersatz (hier: ermäßigter Satz).,3300,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1607,Verbindlichkeiten aus Lieferungen und Leistungen ohne Vorsteuerabzug,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,Verbindlichkeiten aus Rechnungen ohne Vorsteuerabzug (z.B. von Kleinunternehmern).,,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1609,Gegenkonto Aufteilung Verbindlichkeiten Lieferungen und Leistungen,Verbindlichkeiten,Verrechnungskonto,Passivkonto,Technisches Konto zur Aufteilung von Verbindlichkeiten.,,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1610,Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,"Für Kreditoren, die nicht über ein Personenkonto geführt werden.",,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1624,Verbindlichkeiten aus Lieferungen und Leistungen für § 4/3 EStG,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,Abgrenzung von regelmäßig wiederkehrenden Ausgaben bei EÜR.,,,,,Nein,,Technisches Konto für EÜR,
1625,Verbindlichkeiten aus Lieferungen und Leistungen ohne Kontokorrent bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten aus LuL,Passivkonto,Verbindlichkeiten (nicht kontokorrent) mit Restlaufzeit bis 1 Jahr.,,,,,Nein,,D.1. Verbindlichkeiten aus Lieferungen und Leistungen,
1650,Verbindlichkeiten aus Lieferungen und Leistungen ggü. Gesellschaftern,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,Passivkonto,Offene Rechnungen aus Lieferungen und Leistungen von Gesellschaftern.,,,,,Nein,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,
1700,Sonstige Verbindlichkeiten,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,"Sammelkonto für Verbindlichkeiten, die keiner anderen Kategorie zugeordnet werden können.",,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1701,Sonstige Verbindlichkeiten - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Sonstige Verbindlichkeiten mit einer Restlaufzeit von bis zu einem Jahr.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1702,Sonstige Verbindlichkeiten - Restlaufzeit 1 bis 5 Jahre,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Sonstige Verbindlichkeiten mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1705,Erhaltene Darlehen,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,Passivkonto,"Aufgenommene Darlehen, in der Regel von Banken.",1200,,,,Nein,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,
1706,Erhaltene Darlehen - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,Passivkonto,Anteil der Darlehen mit einer Restlaufzeit von bis zu einem Jahr.,,,,,Nein,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,
1707,Erhaltene Darlehen - Restlaufzeit 1 bis 5 Jahre,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,Passivkonto,Anteil der Darlehen mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,Nein,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,
1710,Verbindlichkeiten ggü. Kreditinstituten,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,Passivkonto,Sammelkonto für Verbindlichkeiten gegenüber Banken (z.B. Kontokorrentkredit).,,,,,Nein,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,
1711,Verbindlichkeiten ggü. Kreditinstituten - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten ggü. Kreditinstituten,Passivkonto,Verbindlichkeiten gegenüber Banken mit Restlaufzeit bis 1 Jahr.,,,,,Nein,,D.2. Verbindlichkeiten gegenüber Kreditinstituten,
1725,Verbindlichkeiten ggü. Gesellschaftern,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,Passivkonto,Sammelkonto für Verbindlichkeiten gegenüber Gesellschaftern (z.B. Darlehen).,1200,,,,Nein,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,
1726,Verbindlichkeiten ggü. Gesellschaftern - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,Passivkonto,Verbindlichkeiten an Gesellschafter mit Restlaufzeit bis 1 Jahr.,,,,,Nein,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,
1729,Verbindlichkeiten gegenüber Gesellschaftern für offene Ausschüttungen,Verbindlichkeiten,Verbindlichkeiten ggü. Gesellschaftern,Passivkonto,"Verbindlichkeit aus beschlossenen, aber noch nicht ausgezahlten Gewinnausschüttungen.",,,,,Nein,,D.3. Verbindlichkeiten gegenüber Gesellschaftern,
1730,Kreditkartenabrechnung,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Verbindlichkeit gegenüber dem Kreditkarteninstitut aus der Monatsabrechnung.,1200,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1736,Verbindlichkeiten aus Steuern und Abgaben,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Sammelkonto für Steuerschulden (außer USt).,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1737,Verbindlichkeiten aus Steuern und Abgaben - bis 1 Jahr,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Steuerschulden mit einer Restlaufzeit von bis zu einem Jahr.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1738,Verbindlichkeiten aus Steuern und Abgaben - 1-5 Jahre,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Steuerschulden mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1739,Verbindlichkeiten aus Steuern und Abgaben - größer 5 Jahre,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Steuerschulden mit einer Restlaufzeit von mehr als 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1740,Verbindlichkeiten aus Lohn und Gehalt,Verbindlichkeiten,Verbindlichkeiten Lohn & Gehalt,Passivkonto,Noch nicht ausgezahlte Nettolöhne und -gehälter.,4110,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1741,Verbindlichkeiten aus Lohn- und Kirchensteuer,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,"Einbehaltene, aber noch nicht an das Finanzamt abgeführte Lohn- und Kirchensteuer.",4110,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1742,Verbindlichkeiten im Rahmen der sozialen Sicherheit,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,Passivkonto,Noch nicht abgeführte Sozialversicherungsbeiträge (Arbeitnehmer- und Arbeitgeberanteil).,4130,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),
1743,Verbindlichkeiten im Rahmen der sozialen Sicherheit - bis 1 Jahr,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,Passivkonto,Sozialversicherungsbeiträge mit einer Restlaufzeit von bis zu einem Jahr.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),
1744,Verbindlichkeiten im Rahmen der sozialen Sicherheit - 1-5 Jahre,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,Passivkonto,Sozialversicherungsbeiträge mit einer Restlaufzeit von 1 bis 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),
1745,Verbindlichkeiten im Rahmen der sozialen Sicherheit - größer 5 Jahre,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,Passivkonto,Sozialversicherungsbeiträge mit einer Restlaufzeit von mehr als 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),
1746,"Verbindlichkeiten aus Einbehaltungen (KapESt und SolZ, KiSt auf KapESt) für offene Ausschüttungen",Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,"Einbehaltene Steuern auf Ausschüttungen, die noch an das Finanzamt abzuführen sind.",,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1747,Verbindlichkeiten für Verbrauchsteuern,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,"Noch nicht abgeführte Verbrauchsteuern (z.B. Energiesteuer, Kaffeesteuer).",,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1748,Verbindlichkeiten für Einbehaltungen von Arbeitnehmern,Verbindlichkeiten,Verbindlichkeiten Lohn & Gehalt,Passivkonto,"Sonstige Einbehalte vom Lohn (z.B. Pfändungen, Gewerkschaftsbeiträge).",4110,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1749,Verbindlichkeiten an das Finanzamt aus abzuführendem Bauabzugsbetrag,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,"Einbehaltene Bauabzugsteuer nach § 48 EStG, die noch an das Finanzamt abzuführen ist.",,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin aus Steuern),
1750,Verbindlichkeiten aus Vermögensbildung,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Verbindlichkeiten aus vermögenswirksamen Leistungen für Arbeitnehmer.,4170,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1751,Verbindlichkeiten aus Vermögensbildung - Restlaufzeit bis 1 Jahr,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit bis 1 Jahr.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1752,Verbindlichkeiten aus Vermögensbildung - Restlaufzeit 1-5 Jahre,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit von 1 bis 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1753,Verbindlichkeiten aus Vermögensbildung - Restlaufzeit größer 5 Jahre,Verbindlichkeiten,Sonstige Verbindlichkeiten,Passivkonto,Verbindlichkeiten aus Vermögensbildung mit Restlaufzeit über 5 Jahren.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1754,Steuerzahlungen an andere Länder,Verbindlichkeiten,Steuerverbindlichkeiten,Passivkonto,Zahlungen an ausländische Finanzbehörden (z.B. aus MOSS-Verfahren).,,,,Vereinnahmte Umsatzsteuer,Nein,,D.4. Sonstige Verbindlichkeiten,
1755,Verrechnungskonto Lohn und Gehalt,Interimskonto,Verrechnungskonto,Passivkonto,"Technisches Verrechnungskonto für die Lohnbuchhaltung, muss ausgeglichen sein.",,,,,Nein,,Technisches Konto,
1756,Lohn- und Gehaltsverrechnung § 11 Abs. 2 EStG für § 4/3 EStG,Interimskonto,Verrechnungskonto EÜR,Passivkonto,Technisches Konto zur Abgrenzung von Löhnen bei EÜR.,,,,,Nein,,Technisches Konto für EÜR,
1759,Voraussichtliche Beitragsschuld gegenüber den Sozialversicherungsträgern,Verbindlichkeiten,Sozialversicherungsverbindlichkeiten,Passivkonto,Gegenkonto für die Schätzung der SV-Beiträge am Monatsende.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten (darin im Rahmen der sozialen Sicherheit),
1760,Umsatzsteuer nicht fällig,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1761,Umsatzsteuer nicht fällig 7%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer (7%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1762,Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer aus erhaltenen Anzahlungen bei Soll-Versteuerung für EU-Lieferungen.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1763,Umsatzsteuer nicht fällig 5%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer (5%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1764,Umsatzsteuer nicht fällig aus im Inland steuerpflichtigen EU-Lieferungen 19%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer (19%) aus erhaltenen Anzahlungen bei Soll-Versteuerung für EU-Lieferungen.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1765,Umsatzsteuer nicht fällig 16%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer (16%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1766,Umsatzsteuer nicht fällig 19%,Verbindlichkeiten,Umsatzsteuer-Verbindlichkeiten (nicht fällig),Passivkonto,Umsatzsteuer (19%) aus erhaltenen Anzahlungen bei Soll-Versteuerung.,,,,,Nein,,D.4. Sonstige Verbindlichkeiten,
1767,Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Lieferungen,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,"Umsatzsteuerschuld aus Lieferungen, die im EU-Ausland steuerbar sind.",,,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1768,Umsatzsteuer aus im anderen EU-Land steuerpflichtigen Leistungen,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,"Umsatzsteuerschuld aus Leistungen, die im EU-Ausland steuerbar sind (MOSS).",,,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1769,Umsatzsteuer aus der Auslagerung von Gegenständen aus einem Umsatzsteuerlager,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,"Umsatzsteuerschuld, die bei der Entnahme von Waren aus einem USt-Lager entsteht.",,70,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1770,"Umsatzsteuer (andere Steuersätze, nicht 7% u. 19%)",Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Sammelkonto für Umsatzsteuer zu Sondersätzen.,,36,,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1771,Umsatzsteuer 7%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus Umsätzen zum ermäßigten Satz.,,86,2,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1772,Umsatzsteuer 7% innergem. Erwerb,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuer aus innergemeinschaftlichem Erwerb zum ermäßigten Satz.,,93,2,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1773,Umsatzsteuer 5%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus Umsätzen zum temporär gesenkten ermäßigten Satz.,,35,2,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1774,Umsatzsteuer 19% innergem. Erwerb,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuer aus innergemeinschaftlichem Erwerb zum Regelsatz.,,89,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
1775,Umsatzsteuer 16%,Umsatzsteuer,Umsatzsteuer-Verbindlichkeiten,Passivkonto,Umsatzsteuerschuld aus Umsätzen zum temporär gesenkten Regelsatz.,,35,3,Vereinnahmte Umsatzsteuer,Ja,,D.4. Sonstige Verbindlichkeiten,
